longitude,latitude,altitude,groundspeed,x,y,vertical_rate
-6.18303381878394,37.29732707395392,39000.0,446.0,291607.3777331083,17366.55822758056,0.0
-6.183759211170552,37.29732707395392,39000.0,446.7016171902087,291543.42874541983,17364.322785540728,0.0
-6.184484603557165,37.29732707395392,39000.0,447.4032343804174,291479.4797577314,17362.087343500894,0.0
-6.184776793134944,37.29732707395392,39000.0,447.4032343804174,291453.72096141434,17361.187179814504,0.0
-6.185068982712722,37.29732707395392,39000.0,447.4032343804174,291427.9621650973,17360.287016128113,0.0
-6.18804931640625,37.29732707395392,39000.0,447.4032343804174,291165.2222697203,17351.110296553776,0.0
-6.189218074717418,37.29732707395392,39000.0,448.0,291062.18693773955,17347.51384241141,0.0
-6.190676481827438,37.29732707395392,39000.0,448.2283490110476,290933.6167003166,17343.02787830501,0.0
-6.192139970495305,37.29732707395392,39000.0,448.2283490110476,290804.5984134737,17338.528276045065,0.0
-6.1936021887737525,37.29732707395392,39000.0,448.2283490110476,290675.69205216627,17334.034572942022,0.0
-6.195333729619563,37.29527877548993,39000.0,448.2283490110476,290530.9162058033,17102.685666170404,0.0
-6.196658745835379,37.29372703422934,39000.0,448.2283490110476,290420.06443790474,16927.38241191533,0.0
-6.1979837620511935,37.29217529296875,39000.0,448.2283490110476,290309.2078148462,16752.080673317654,0.0
-6.1993157654090965,37.29063131041446,39000.0,448.2283490110476,290197.70051945513,16577.61519244172,0.0
-6.200647768766999,37.28908732786017,39000.0,448.2283490110476,290086.18836718553,16403.151243974367,0.0
-6.201185143512246,37.28843559653072,39000.0,448.2283490110476,290041.3099084295,16329.584901211178,0.0
-6.203573475713313,37.28568901449947,39000.0,448.2283490110476,289841.2649333158,16019.179116945315,0.0
-6.204707933508813,37.28433899960275,39000.0,448.2283490110476,289746.41211722745,15866.729467611474,0.0
-6.206499182659629,37.28224414890095,39000.0,448.2283490110476,289596.4963580609,15630.077325717082,0.0
-6.207918207696139,37.28054809570312,39000.0,448.2283490110476,289477.86684358225,15438.574307627088,0.0
-6.21002197265625,37.27814755197299,39000.0,448.2283490110476,289301.5471102188,15167.238056326938,0.0
