longitude,latitude,altitude,groundspeed,x,y,vertical_rate
-13.84637451171875,39.13763013936705,38000.0,490.9181027256636,-374835.2193384517,224172.15201414895,0.0
-13.84637451171875,39.138095661745226,38000.0,490.9181027256636,-374832.8509374375,224223.54259640543,0.0
-13.84637451171875,39.13856118412341,38000.0,490.9181027256636,-374830.4825364233,224274.93317866192,0.0
-13.84637451171875,39.138712478896316,38000.0,490.9181027256636,-374829.71280574,224291.63512557076,0.0
-13.84637451171875,39.13886377366922,38000.0,490.9181027256636,-374828.9430750567,224308.3370724796,0.0
-13.84637451171875,39.13916636321504,38000.0,490.9181027256636,-374827.4036133429,224341.7409738273,0.0
-13.84637451171875,39.13957214355469,38000.0,490.9181027256636,-374825.3391551666,224386.53647386705,0.0
-13.84637451171875,39.13991119902013,38000.0,490.9181027256636,-374823.6141676455,224423.96599385183,0.0
-13.84637451171875,39.14028361692267,38000.0,490.9181027256636,-374821.7194440079,224465.0785209821,0.0
-13.84637451171875,39.14065603482521,38000.0,490.9181027256636,-374819.8247198442,224506.1910595257,0.0
-13.8433837890625,39.14102845272775,38000.0,490.9181027256636,-374560.8239555484,224535.45861985369,0.0
-13.8402099609375,39.141400870630285,38000.0,490.9181027256636,-374286.084274175,224564.01000105173,0.0
-13.83721923828125,39.141773288532846,38000.0,490.9181027256636,-374027.0880158635,224593.2945805268,0.0
-13.834413169086844,39.14211596472789,38000.0,490.9181027256636,-373784.1189869994,224620.03365426644,0.0
-13.831607099892436,39.14245864092294,38000.0,490.9181027256636,-373541.15187296615,224646.77999591763,0.0
-13.828801030698031,39.14280131711799,38000.0,490.9181027256636,-373298.1866739816,224673.5336053968,0.0
-13.825994961503625,39.14314399331303,38000.0,490.9181027256636,-373055.2233902631,224700.2944826104,0.0
-13.823188892309217,39.14348666950807,38000.0,490.9181027256636,-372812.2620220285,224727.0626274707,0.0
-13.82038282311481,39.14382934570312,38000.0,490.9181027256636,-372569.3025694955,224753.8380398884,0.0
-13.81753296783005,39.14417719436904,38000.0,491.9060702065101,-372322.5548052888,224781.0194131773,0.0
-13.814683112545293,39.14452504303495,38000.0,491.9060702065101,-372075.8090163265,224808.2082823498,0.0
-13.811833257260531,39.14487289170087,38000.0,491.9060702065101,-371829.0652028366,224835.4046473195,0.0
-13.80898340197577,39.14522074036678,38000.0,491.9060702065101,-371582.3233650468,224862.6085079901,0.0
-13.80613354669101,39.1455685890327,38000.0,491.9060702065101,-371335.5835031855,224889.8198642682,0.0
-13.80328369140625,39.14591643769862,38000.0,491.9060702065101,-371088.84561748,224917.03871606596,0.0
-13.800339408542786,39.14626907090009,38000.0,491.9060702065101,-370833.9682877999,224944.42311561815,0.0
-13.79739512567932,39.14662170410156,38000.0,491.9060702065101,-370579.0930215927,224971.8155129196,0.0
-13.794409710427976,39.14698791503906,38000.0,491.9060702065101,-370320.61569910287,225000.55383815145,0.0
-13.791424295176627,39.14735412597656,38000.0,491.9060702065101,-370062.14055891865,225029.3003892079,0.0
-13.788438879925284,39.14772033691406,38000.0,491.9060702065101,-369803.66760130215,225058.0551659856,0.0
-13.78545346467394,39.14808654785156,38000.0,491.9060702065101,-369545.1968265152,225086.81816837544,0.0
-13.78288600755775,39.14840698242188,38000.0,491.9060702065101,-369322.8861658411,225112.1673613464,0.0
-13.78031855044156,39.14872741699219,38000.0,491.9060702065101,-369100.577152851,225137.52263961383,0.0
-13.77739284349525,39.149070739746094,38000.0,491.9060702065101,-368847.3595608553,225164.01399919693,0.0
-13.77446713654894,39.1494140625,38000.0,491.9060702065101,-368594.1439599469,225190.51325255376,0.0
-13.771584078391909,39.14976065499442,38000.0,491.9060702065101,-368344.5801211028,225217.54742615545,0.0
-13.76870102023488,39.15010724748884,38000.0,491.9060702065101,-368095.01827185,225244.58926787143,0.0
-13.765817962077849,39.15045383998326,38000.0,491.7525619322375,-367845.458412424,225271.63877761105,0.0
-13.76293490392082,39.15080043247768,38000.0,491.7525619322375,-367595.9005430609,225298.6959552724,0.0
-13.76005184576379,39.1511470249721,38000.0,491.7525619322375,-367346.3446639964,225325.7608007661,0.0
-13.75716878760676,39.15149361746652,38000.0,491.7525619322375,-367096.7907754663,225352.833313996,0.0
-13.75428572944973,39.15184020996094,38000.0,491.7525619322375,-366847.2388777063,225379.91349486436,0.0
-13.75140568179548,39.15218487907858,38000.0,491.7525619322375,-366597.9573222618,225406.8006691387,0.0
-13.748525634141226,39.15252954819624,38000.0,491.7525619322375,-366348.67774341087,225433.69549429324,0.0
-13.745645586486974,39.15287421731388,38000.0,491.7525619322375,-366099.4001413884,225460.59797024296,0.0
-13.742765538832725,39.15321888643152,38000.0,491.7525619322375,-365850.1245164295,225487.50809688595,0.0
-13.739885491178471,39.15356355554917,38000.0,491.7525619322375,-365600.8508687692,225514.42587413717,0.0
-13.737005443524218,39.15390822466682,38000.0,491.7525619322375,-365351.5791986422,225541.35130189464,0.0
-13.734125395869969,39.15425289378447,38000.0,491.7525619322375,-365102.309506284,225568.28438006635,0.0
-13.731245348215715,39.15459756290211,38000.0,491.7525619322375,-364853.0417919294,225595.22510856023,0.0
-13.728365300561464,39.15494223201976,38000.0,491.7525619322375,-364603.7760558136,225622.17348728143,0.0
-13.72548525290721,39.15528690113741,38000.0,491.7525619322375,-364354.5122981711,225649.12951613363,0.0
-13.72260520525296,39.15563157025505,38000.0,491.7525619322375,-364105.2505192374,225676.09319502616,0.0
-13.719725157598708,39.15597623937271,38000.0,491.7525619322375,-363855.9907192474,225703.0645238656,0.0
-13.716845109944456,39.15632090849035,38000.0,491.7525619322375,-363606.73289843614,225730.0435025527,0.0
-13.713965062290203,39.156665577608,38000.0,491.7525619322375,-363357.4770570381,225757.03013099977,0.0
-13.711085014635952,39.15701024672564,38000.0,491.7525619322375,-363108.2231952891,225784.0244091062,0.0
-13.7082049669817,39.15735491584329,38000.0,491.7525619322375,-362858.97131342377,225811.0263367828,0.0
-13.705324919327447,39.15769958496094,38000.0,491.7525619322375,-362609.7214116769,225838.03591393327,0.0
-13.702444871673196,39.15804425407858,38000.0,491.7525619322375,-362360.4734902835,225865.0531404627,0.0
-13.699564824018944,39.15838892319624,38000.0,491.7525619322375,-362111.2275494789,225892.07801628188,0.0
-13.696684776364693,39.15873359231388,38000.0,491.7525619322375,-361861.98358949774,225919.11054129165,0.0
-13.69380472871044,39.15907826143152,38000.0,491.7525619322375,-361612.7416105751,225946.15071539715,0.0
-13.690924681056188,39.15942293054917,38000.0,491.7525619322375,-361363.50161294587,225973.19853850917,0.0
-13.688044633401937,39.15976759966682,38000.0,491.7525619322375,-361114.26359684527,226000.2540105299,0.0
-13.685164585747684,39.16011226878447,38000.0,491.7525619322375,-360865.02756250784,226027.3171313674,0.0
-13.682284538093434,39.16045693790211,38000.0,491.7525619322375,-360615.7935101689,226054.38790092533,0.0
-13.67940449043918,39.16080160701976,38000.0,491.7525619322375,-360366.5614400633,226081.4663191102,0.0
-13.67652444278493,39.16114627613741,38000.0,491.7525619322375,-360117.3313524258,226108.5523858285,0.0
-13.673644395130678,39.16149094525505,38000.0,491.7525619322375,-359868.1032474916,226135.646100984,0.0
-13.670764347476425,39.16183561437271,38000.0,491.7525619322375,-359618.87712549535,226162.74746448747,0.0
-13.667884299822171,39.16218028349035,38000.0,491.7525619322375,-359369.6529866724,226189.85647623977,0.0
-13.665004252167922,39.162524952608,38000.0,491.7525619322375,-359120.43083125737,226216.97313614737,0.0
-13.66212420451367,39.16286962172564,38000.0,491.7525619322375,-358871.21065948525,226244.0974441183,0.0
-13.659244156859415,39.16321429084329,38000.0,491.7525619322375,-358621.9924715911,226271.22940005612,0.0
-13.656364109205166,39.16355895996094,38000.0,491.7525619322375,-358372.7762678095,226298.36900386895,0.0
-13.653484061550914,39.16390362907858,38000.0,491.7525619322375,-358123.5620483757,226325.5162554604,0.0
-13.650604013896665,39.16424829819624,38000.0,491.7525619322375,-357874.3498135246,226352.67115473843,0.0
-13.64772396624241,39.16459296731388,38000.0,491.7525619322375,-357625.13956349075,226379.83370160672,0.0
-13.644843918588158,39.16493763643152,38000.0,491.7525619322375,-357375.93129850953,226407.00389596896,0.0
-13.641963870933909,39.16528230554917,38000.0,491.7525619322375,-357126.7250188153,226434.1817377388,0.0
-13.639083823279655,39.16562697466682,38000.0,491.7525619322375,-356877.5207246438,226461.3672268128,0.0
-13.636203775625402,39.16597164378447,38000.0,491.7525619322375,-356628.3184162288,226488.56036310317,0.0
-13.63332372797115,39.16631631290211,38000.0,491.7525619322375,-356379.1180938062,226515.7611465122,0.0
-13.6304436803169,39.16666098201976,38000.0,491.7525619322375,-356129.9197576105,226542.969576945,0.0
-13.627563632662648,39.16700565113741,38000.0,491.7525619322375,-355880.7234078763,226570.18565431095,0.0
-13.624683585008396,39.16735032025505,38000.0,491.7525619322375,-355631.5290448388,226597.40937851372,0.0
-13.621803537354143,39.16769498937271,38000.0,491.7525619322375,-355382.33666873287,226624.6407494585,0.0
-13.618923489699892,39.16803965849035,38000.0,491.7525619322375,-355133.1462797934,226651.87976705027,0.0
-13.61604344204564,39.168384327608,38000.0,491.7525619322375,-354883.9578782551,226679.12643119707,0.0
-13.613163394391387,39.16872899672564,38000.0,491.7525619322375,-354634.7714643528,226706.3807418025,0.0
-13.610283346737136,39.16907366584329,38000.0,491.7525619322375,-354385.5870383217,226733.64269877327,0.0
-13.607403299082884,39.16941833496094,38000.0,491.7525619322375,-354136.4046003962,226760.91230201573,0.0
-13.604523251428631,39.16976300407858,38000.0,491.7525619322375,-353887.22415081155,226788.1895514337,0.0
-13.60164320377438,39.17010767319624,38000.0,491.7525619322375,-353638.0456898021,226815.4744469336,0.0
-13.598763156120128,39.17045234231388,38000.0,491.7525619322375,-353388.8692176033,226842.766988422,0.0
-13.595883108465877,39.17079701143152,38000.0,491.7525619322375,-353139.6947344497,226870.06717580257,0.0
-13.593003060811624,39.17114168054917,38000.0,491.7525619322375,-352890.5222405761,226897.37500898336,0.0
-13.590123013157372,39.17148634966682,38000.0,491.7525619322375,-352641.3517362172,226924.690487868,0.0
-13.58724296550312,39.17183101878447,38000.0,491.7525619322375,-352392.18322160817,226952.0136123644,0.0
-13.58436291784887,39.17217568790211,38000.0,491.7525619322375,-352143.01669698366,226979.34438237484,0.0
-13.581482870194616,39.17252035701976,38000.0,491.7525619322375,-351893.85216257826,227006.68279780736,0.0
-13.578602822540365,39.17286502613741,38000.0,491.7525619322375,-351644.6896186274,227034.02885856695,0.0
-13.575722774886112,39.17320969525505,38000.0,491.7525619322375,-351395.5290653653,227061.3825645588,0.0
-13.572842727231862,39.17355436437271,38000.0,491.7525619322375,-351146.37050302705,227088.74391568804,0.0
-13.569962679577609,39.17389903349035,38000.0,491.7525619322375,-350897.21393184736,227116.11291186255,0.0
-13.567082631923356,39.174243702608,38000.0,491.7525619322375,-350648.0593520609,227143.48955298468,0.0
-13.564202584269106,39.17458837172564,38000.0,491.7525619322375,-350398.9067639029,227170.8738389623,0.0
-13.561322536614854,39.17493304084329,38000.0,491.7525619322375,-350149.756167608,227198.26576970055,0.0
-13.5584424889606,39.17527770996094,38000.0,491.7525619322375,-349900.6075634104,227225.6653451032,0.0
-13.55556244130635,39.17562237907858,38000.0,491.7525619322375,-349651.4609515456,227253.07256507943,0.0
