longitude,latitude,altitude,groundspeed,x,y,vertical_rate
-14.85877503740027,38.01091003417969,38000.0,481.8844246997488,-468910.4912188026,104379.0670042688,0.0
-14.85877503740027,38.011243547712056,38000.0,481.8844246997488,-468908.4018748844,104415.84081173979,0.0
-14.85877503740027,38.01157706124442,38000.0,481.8844246997488,-468906.31253096624,104452.6146192108,0.0
-14.85877503740027,38.011910574776785,38000.0,481.8844246997488,-468904.2231864972,104489.38843637661,0.0
-14.85877503740027,38.01224408830915,38000.0,481.8844246997488,-468902.1338420282,104526.16225354242,0.0
-14.85877503740027,38.01291111537388,38000.0,481.8844246997488,-468897.955151988,104599.70990727356,0.0
-14.85877503740027,38.01357814243862,38000.0,481.8844246997488,-468893.7764608451,104673.25758041417,0.0
-14.85877503740027,38.01424516950335,38000.0,481.4993244120332,-468889.5977685989,104746.8052729727,0.0
-14.85877503740027,38.01491219656808,38000.0,481.4993244120332,-468885.4190752485,104820.35298496476,0.0
-14.85877503740027,38.01557922363281,38000.0,481.4993244120332,-468881.24038079387,104893.90071639318,0.0
-14.856086893284576,38.01621989880578,38000.0,481.4993244120332,-468642.7348592264,104951.22328302848,0.0
-14.853398749168884,38.01686057397875,38000.0,481.4993244120332,-468404.2329727917,105008.55275856498,0.0
-14.850710605053193,38.017501249151714,38000.0,481.4993244120332,-468165.7347216898,105065.8891428441,0.0
-14.8480224609375,38.01814192432468,38000.0,481.4993244120332,-467927.2401061204,105123.2324357242,0.0
-14.845568068484,38.01869201660156,38000.0,481.4993244120332,-467709.7052526621,105171.75029565392,0.0
-14.84287992436833,38.01937866210938,38000.0,481.7889568339764,-467470.9303462663,105234.1756345648,0.0
-14.840045685463746,38.0200538635254,38000.0,481.7889568339764,-467219.4872043933,105294.6245151748,0.0
-14.837211446559165,38.020729064941406,38000.0,481.7889568339764,-466968.0481029055,105355.08107492872,0.0
-14.834377207654583,38.02140426635742,38000.0,481.4993244120332,-466716.6130420367,105415.54531364524,0.0
-14.83154296875,38.02207946777344,38000.0,481.4993244120332,-466465.1820220216,105476.01723114734,0.0
-14.82891326254986,38.022708892822266,38000.0,481.4993244120332,-466231.8807477224,105532.45728868135,0.0
-14.82628355634972,38.02333831787109,38000.0,481.4993244120332,-465998.58297056507,105588.90395760049,0.0
