longitude,latitude,altitude,groundspeed,x,y,vertical_rate
-7.722603934,42.98968506,35000.0,475.0827402,144085.9828,643523.8559,0
-7.723443421000001,42.98968506,35000.0,475.0827402,144017.5318,643522.5778999999,0
-7.724282908,42.98968506,35000.0,475.0827402,143949.0808,643521.2999,0
-7.725177144,42.98968506,35000.0,475.0827402,143876.16555,643519.93995,0
-7.72607138,42.98968506,35000.0,475.0827402,143803.2503,643518.58,0
-7.727859852,42.98968506,35000.0,475.0827402,143657.4198,643515.8628,0
-7.729712198,42.98968506,35000.0,475.0827402,143506.381,643513.0515,0
-7.731564544,42.98968506,35000.0,475.0827402,143355.3422,643510.2432,0
-7.732714276,42.98968506,35000.0,475.0827402,143261.5939,643508.5015,0
-7.732714276,42.98968506,35000.0,475.0827402,143261.5939,643508.5015,0
-7.737377078,42.98542786,35000.0,475.0827402,142890.1506,643028.5971,0
-7.739279611,42.98372948,35000.0,475.0827402,142738.5001,642837.0849,0
-7.739998954,42.98303119,35000.0,475.0827402,142681.2747,642758.4411,0
-7.742680141,42.98065703,35000.0,475.0827402,142467.5009,642490.7018,0
-7.74470738,42.97874839,35000.0,475.0827402,142306.0897,642275.6585,0
-7.745680698,42.97787476,35000.0,475.0827402,142228.5021,642177.1612,0
-7.748299532,42.97549438,35000.0,475.0827402,142019.7939,641908.8414,0
-7.748299532,42.97549438,35000.0,475.0827402,142019.7939,641908.8414,0
-7.749002146,42.97480774,35000.0,475.0827402,141963.8946,641831.5219,0
-7.751812602,42.97224426,35000.0,475.0827402,141739.9125,641542.5865,0
-7.752770712,42.9713974,35000.0,475.0827402,141663.4959,641447.092,0
-7.753728822,42.97055054,35000.0,475.0827402,141587.0774,641351.5984,0
-7.756901991,42.96764335,35000.0,475.0827402,141334.1812,641023.9593,0
-7.76007516,42.96473616,35000.0,475.0827402,141081.2631,640696.3305,0
-7.761775426,42.96315339,35000.0,475.0827402,140945.785,640518.0026,0
-7.763671875,42.96147751,35000.0,475.0827402,140794.4858,640329.045,0
-7.763671875,42.96147751,35000.0,475.0827402,140794.4858,640329.045,0
-7.767595564,42.95784643,35000.0,475.0827402,140481.7601,639919.9241,0
-7.770399936,42.95530701,35000.0,475.861964,140258.1128,639633.7216,0
-7.771323068,42.95444812,35000.0,475.861964,140184.5362,639536.9611,0
-7.774135045,42.95188774,35000.0,475.861964,139960.2882,639248.4312,0
-7.77621247,42.94999695,35000.0,475.861964,139794.6063,639035.3602,0
-7.776978958,42.9493103,35000.0,475.861964,139733.4518,638957.9664,0
-7.779597793,42.94688416,35000.0,475.861964,139524.6586,638684.6448,0
-7.780875273,42.94569397,35000.0,475.861964,139422.8163,638550.5758,0
-7.781851632,42.94485836,35000.0,475.861964,139344.8288,638456.3317,0
-7.784643839,42.94226074,35000.0,475.861964,139122.2047,638163.7245,0
-7.787606376,42.9395514,35000.0,475.861964,138885.8878,637858.4668,0
-7.788540153,42.93869019,35000.0,475.861964,138811.4124,637761.4481,0
-7.789502825,42.93782897,35000.0,475.861964,138734.5773,637664.388,0
-7.791542231,42.9359436,35000.0,475.861964,138571.9181,637452.0079,0
-7.793432597,42.93423281,35000.0,475.861964,138421.0647,637259.2381,0
-7.795322963,42.93252201,35000.0,475.861964,138270.2036,637066.4719,0
-7.798312875,42.92976379,35000.0,475.861964,138031.6813,636755.7774,0
-7.799781977,42.9283905,35000.0,475.861964,137914.5113,636601.1175,0
-7.800548465,42.92770386,35000.0,475.861964,137853.318,636523.7419,0
-7.804282052,42.92428227,35000.0,475.861964,137555.3779,636138.3086,0
-7.805977755,42.92271423,35000.0,475.861964,137420.0787,635961.7005,0
-7.806897845,42.92186155,35000.0,475.861964,137346.6662,635865.6668,0
-7.808794294,42.92013912,35000.0,475.861964,137195.2766,635671.6249,0
-7.810821533,42.91827703,35000.0,475.861964,137033.4789,635461.8872,0
-7.811790289,42.91740417,35000.0,475.861964,136956.1241,635363.5473,0
-7.813437326,42.91585631,35000.0,475.861964,136824.7299,635189.2627,0
-7.81703404,42.91259766,35000.0,475.861964,136537.5384,634822.1702,0
-7.818865095,42.91087522,35000.0,475.861964,136391.4457,634628.2419,0
-7.820761544,42.90919934,35000.0,475.2363725,136239.9158,634439.3927,0
-7.821882381,42.90815735,35000.0,475.2363725,136150.4561,634322.0596,0
-7.824685233,42.90556827,35000.0,475.2363725,135926.7017,634030.4979,0
-7.825587073,42.90472412,35000.0,475.2363725,135854.725,633935.4557,0
-7.827301025,42.90314755,35000.0,475.2363725,135717.8737,633757.91,0
-7.830313749,42.90042114,35000.0,475.2363725,135477.2185,633450.8121,0
-7.833121164,42.8978406,35000.0,475.2363725,135253.0235,633160.2155,0
-7.834210063,42.89680481,35000.0,475.2363725,135166.1291,633043.6314,0
-7.836260114,42.89490781,35000.0,475.2363725,135002.4244,632830.0358,0
-7.838681243,42.89268494,35000.0,475.2363725,134809.042,632579.7273,0
-7.839660645,42.89183536,35000.0,475.2363725,134730.7147,632483.9842,0
-7.841300077,42.89030457,35000.0,475.861964,134599.8074,632311.6525,0
-7.841300077,42.89030457,35000.0,475.861964,134599.8074,632311.6525,0
-7.845088414,42.88685427,35000.0,475.861964,134297.1215,631923.1069,0
-7.847834996,42.8842939,35000.0,475.861964,134077.7652,631634.8785,0
-7.849731445,42.88257146,35000.0,475.861964,133926.2078,631440.9147,0
-7.850689555,42.88169861,35000.0,475.861964,133849.6412,631342.6278,0
-7.852935791,42.87963867,35000.0,475.861964,133670.1535,631110.6953,0
-7.854969113,42.87776184,35000.0,475.861964,133507.6928,630899.4022,0
-7.857055664,42.87586794,35000.0,475.861964,133340.9082,630686.1427,0
-7.858929301,42.87414551,35000.0,475.861964,133191.1763,630492.2287,0
-7.860586984,42.87260928,35000.0,475.861964,133058.7196,630319.3001,0
-7.860586984,42.87260928,35000.0,475.861964,133058.7196,630319.3001,0
-7.864294717,42.86915588,35000.0,475.861964,132762.4653,629930.5966,0
